x,y
4.5930187926,-0.7175476014
1.8792648132,0.6828327258
1.3029485916,0.6927264487
1.6606178405,0.7202624488
4.2421833563,-0.63153067
0.0908734719,0.0601345485
4.8070064546,-0.7198733808
1.9050101196,0.6759109945
3.5314101757,-0.2544039946
4.5361846612,-0.7102158467
3.476001217,-0.2191069208
3.2585439633,-0.077351875
3.012228483,0.0855371511
1.2618616146,0.6827118126
2.0444650462,0.6302395009
0.792157476,0.4909197149
4.7489232635,-0.7232302304
0.2869345923,0.1885411976
0.2965193686,0.1947338915
5.6941328685,-0.3767812437
5.6070621989,-0.4273050737
1.1615837491,0.6530006651
0.2700527836,0.1776093365
4.698266788,-0.7237317407
1.6761000962,0.7189344771
0.3794195134,0.2478143316
2.7862718461,0.2324799777
3.4745884156,-0.2182013422
1.4893987478,0.7208972587
4.1099079921,-0.5771651202
2.519538256,0.3961810105
1.8529981799,0.689376305
1.1190297029,0.638277276
0.7903701951,0.4899765019
0.7255992161,0.4549968612
0.2486997989,0.1637399367
3.3019915634,-0.1059677523
1.1599440922,0.6524557858
2.4224056409,0.4514532761
5.48361846,-0.4948167166
0.788866937,0.4891822265
4.4790610989,-0.7001156984
5.323222121,-0.5734066687
4.0837368739,-0.5652689703
3.6305736021,-0.3163262091
0.7675502345,0.4778269716
0.9747436571,0.5800331461
2.477911893,0.4202191782
1.5456466316,0.7235404004
5.5160856107,-0.4775851417
1.4011218858,0.7111976892
1.6000723205,0.7234411956
1.5940438279,0.7235810711
5.8535203115,-0.2794964801
1.2678807425,0.6842601416
1.9160681196,0.6727867395
1.4935109412,0.7211846226
3.6891895438,-0.3520179583
3.6260675375,-0.3135521765
0.556845736,0.3575789464
3.3956539348,-0.1672266197
1.0225860543,0.6006809887
0.8901460843,0.5406319734
0.1156153829,0.0764705246
3.1226922859,0.0125163814
5.5635852397,-0.4516819615
2.1315042644,0.5954083979
0.6213441654,0.3957665992
1.3980557255,0.7107411242
1.1921430483,0.6628171554
1.7892990781,0.7029948256
3.5170714729,-0.2453126475
5.9759970688,-0.2016145691
0.0434938249,0.0287987576
0.9454561348,0.5667936133
1.873248433,0.6843782205
0.6589011132,0.4174847259
5.5807207294,-0.4421473345
1.4053210595,0.7118101054
0.6084258556,0.3882048876
5.3409765105,-0.5652987505
0.7810862363,0.4850573434
6.1043140777,-0.1181014574
3.3042896734,-0.1074784582
1.0005473192,0.5913247331
3.0400068953,0.0672102756
3.8355915036,-0.4374013265
4.9068871541,-0.7072749207
1.8123991533,0.6984312392
5.8590229897,-0.2760471795
5.2249456518,-0.6152320572
5.7280089474,-0.3565767123
4.5903245806,-0.7172624488
0.3517412983,0.2301951801
1.8162504334,0.6976284799
4.9140323926,-0.7060505925
5.0052456773,-0.6867858848
5.539785326,-0.4647602215
1.9599774294,0.659508546
1.6758898947,0.718953902
4.2709831593,-0.6419721625
4.5830714073,-0.7164636941
2.6111111466,0.3416746249
0.3182988981,0.2087656985
4.8744927979,-0.7122910253
3.4209470051,-0.1836363866
1.3206468808,0.6966337114
2.7085121178,0.2816348271
4.7145526258,-0.7238178027
5.4027045623,-0.5359125813
1.4229486863,0.7142180566
4.7815135465,-0.7217110699
5.3322283928,-0.5693137192
2.6174976957,0.3377980226
3.3766577559,-0.154860815
0.8658396554,0.5286836015
4.5093407404,-0.7058049055
0.9939653915,0.5884785432
5.947658644,-0.2198234159
4.6567547376,-0.7224532184
4.5103991183,-0.7059901542
0.5224327653,0.3367875928
5.1566662336,-0.6409551441
3.1221049647,0.0129052956
2.8528411288,0.1897159067
2.3563244678,0.4872772403
1.0967532735,0.6300994842
0.8956219792,0.5432867823
6.2490258803,-0.0226196666
4.4065220289,-0.6835043905
5.6370270007,-0.4101614324
4.5386965803,-0.7105977877
6.0534963967,-0.1513551124
6.2216677706,-0.040725656
4.7279357884,-0.7237130642
1.9027746477,0.6765316317
5.354766365,-0.5588924593
1.01880837,0.5990964716
2.3661253021,0.4820642788
5.0122202755,-0.6850428304
4.1719204811,-0.6039029568
4.3078149773,-0.6545321994
3.6842080053,-0.3490144209
2.0306236245,0.6353546759
2.1426131475,0.5906489126
5.126392484,-0.6514034524
0.9473344951,0.5676558728
5.2978864165,-0.5846951877
4.1657384897,-0.6013328756
1.3754906692,0.707138681
5.1279162108,-0.6508922074
2.7208802699,0.2738819637
1.6883788391,0.7177333496
1.5704815475,0.7238198278
4.6016545906,-0.718419345
1.2293690583,0.6738831398
2.6118908164,0.3412018582
0.3914345579,0.2554272782
5.4507075208,-0.5118628452
0.8859488998,0.5385877922
5.8464954054,-0.2838922896
6.1977576393,-0.05653594
0.7489653914,0.4677900096
5.6922820114,-0.3778768435
0.7890674394,0.489288216
3.3453694269,-0.1344239364
0.8473471632,0.519418543
3.9790349074,-0.5143958029
1.6874531424,0.7178284494
4.6718696618,-0.7230946449
0.9708453298,0.5782964672
1.1178905119,0.6378667694
6.0301586337,-0.1665540091
1.685934733,0.7179828368
1.4801430566,0.7201964102
3.5925869296,-0.2928159053
3.4588010562,-0.2080644948
1.8481380192,0.6905286614
5.7616914543,-0.336216568
3.2308927688,-0.0590949689
1.0240700003,0.601301213
5.0031726174,-0.687296764
5.641006774,-0.4078645378
1.2020438327,0.6658573906
5.0114186352,-0.6852450692
2.9501374344,0.1263543096
5.5349439051,-0.467396494
0.0287559375,0.0190421936
3.7727898586,-0.4015032177
1.0168396018,0.5982675064
4.8010195676,-0.7203559539
3.5860947954,-0.2887704611
1.894578427,0.6787754003
5.1142166105,-0.6554320425
2.6942268719,0.2905558321
6.1086717522,-0.1152410673
2.9970008634,0.0955682512
1.8128661866,0.6983345254
2.6040675848,0.3459393875
2.0587586157,0.6248310864
1.9193116269,0.6718533315
5.0820183699,-0.6655909326
2.1684455849,0.5793228399
1.4227041292,0.7141864564
4.4967053155,-0.7035220371
2.8645165788,0.1821610031
5.6810842604,-0.3844862845
2.8337835882,0.2020145453
5.6439326844,-0.4061729613
0.5256178598,0.3387232418
1.2990494389,0.6918323714
6.1702861027,-0.0746783443
1.9418010185,0.6651719229
0.5931988259,0.3792344357
5.9255091959,-0.2339823863
2.5739302007,0.3640566631
0.5312603542,0.3421467564
3.709429548,-0.3641608965
2.9832863997,0.104591828
1.6136615643,0.7230082822
5.9157983547,-0.2401684191
0.6221370805,0.3962292459
1.2424880822,0.6775425214
3.1384175485,0.0021027166
5.4060211086,-0.5342834336
3.0791285037,0.0413518753
1.3095426624,0.6942112281
3.3486191109,-0.1365502919
5.8151306771,-0.303409284
5.3168322461,-0.5762853453
5.6077218413,-0.4269305975
1.3302074056,0.6986405964
0.2982702979,0.1958640306
4.1710595024,-0.6035463212
5.0533665408,-0.6740106816
4.1028752112,-0.5740027789
3.9423594582,-0.4954458284
0.4527471732,0.2939068595
1.2565235808,0.6813156911
2.6983142041,0.2880070807
0.1897728946,0.1252516523
4.6652063099,-0.7228366669
4.8452816107,-0.7160533434
0.5363722564,0.3452421497
5.623190331,-0.4181111317
6.2253611809,-0.0382821366
0.4009144107,0.2614179658
1.291181838,0.6899920658
4.1898211083,-0.6112209858
2.3026377142,0.5151655548
4.7872378352,-0.721347909
4.5893270407,-0.7171552822
4.5056603062,-0.7051535168
4.1729780326,-0.6043404369
4.3181698188,-0.657897836
4.9837593569,-0.6919192263
2.7026412676,0.2853055466
2.8851483958,0.1687754231
2.3897647132,0.4693440833
0.4392551549,0.2854953097
0.6004386426,0.383507131
5.0121681204,-0.6850560031
2.34986272,0.4906941973
2.0103393119,0.6426290672
4.1011163341,-0.5732078954
5.8018478996,-0.311618262
3.8312831284,-0.4349771617
4.5629741496,-0.7140146705
6.0323231318,-0.165146508
3.0194287651,0.0807900117
0.0252713654,0.0167350034
3.5526766428,-0.2678284254
1.4335993363,0.7155447282
2.850358014,0.1913207281
4.812455989,-0.7194069851
4.4594010555,-0.6960238027
1.1538670868,0.6504204156
4.7468187894,-0.723296182
2.293114738,0.5199892988
4.1256072772,-0.5841311141
3.8371591374,-0.4382819058
5.6303757617,-0.4139898605
2.6182875133,0.3373179768
3.3025677447,-0.1063465461
